Agent,Username,Case Deposit,Deposit Amount,Case Withdraw,Withdraw Amount,Month
JMMY,Heru24,2,80,0,0,February
JMMY,kirakira10HH,6,180,1,100,February
JMMY,YOTO97,21,619,3,550,February
JMMY,status50,25,1310,6,1118.2,February
JMMY,Kanesan63,16,6350,0,0,February
JMMY,pcigo20,96,6050,13,4950,February
JMMY,Murukiah72,23,635,3,470,February
JMMY,mizan14,420,14128,75,13640,February
JMMY,shakti164,4,400,1,453,February
JMMY,farukgo47,155,15330.8,21,13928,February
JMMY,harss28J,2,100,0,0,February
JMMY,ncikwati477J,31,1536,4,900,February
JMMY,SPBUTO92,20,472,0,0,February
JMMY,JJJTO66,20,1700,3,1300,February
JMMY,therock35HH,78,3340,5,3200,February
JMMY,Lily450,1,20,0,0,February
JMMY,zaidi86,98,4730,5,2629,February
JMMY,Ssboy213,86,2301,5,1550,February
JMMY,DSATO48,1,50,1,150,February
JMMY,Erigo70,44,3200,4,2400,February
JMMY,Mandal152,12,740,0,0,February
JMMY,rajabrama67,7,1250,1,1000,February
JMMY,syuq30Z,2,250,0,0,February
JMMY,kums46S,1,50,1,100,February
JMMY,thines878,35,2225,5,2350,February
JMMY,Okaybos042J,3,220,1,200,February
JMMY,fatcai61,100,4657,8,5822,February
JMMY,boyeh79,50,2473,12,2919,February
JMMY,Haki936,308,10554.98,21,8250,February
JMMY,sue9313,1,30,0,0,February
JMMY,ohh95,10,220,2,230,February
JMMY,angel82,29,3557,3,2603,February
JMMY,asli72D,6,290,0,0,February
JMMY,PRAVIN43,295,14490,51,13500,February
JMMY,sport71,7,650,0,0,February
JMMY,keca51MR,10,499,1,150,February
JMMY,jerapah26MR,1,50,0,0,February
JMMY,susan23,101,3249,2,1100,February
JMMY,begini66HH,36,1198,3,1190,February
JMMY,motif96Z,0,0,0,0,February
JMMY,akmal38,2,70,0,0,February
JMMY,cucu869V,1,30,1,200,February
JMMY,Rosdin02,47,6726,22,5893,February
JMMY,Zukhairi852,171,4634,19,3465,February
JMMY,kela74MR,3,420,0,0,February
JMMY,prabin20J,4,200,0,0,February
JMMY,KangMus78,5,117,0,0,February
JMMY,Erwin31,86,2800,6,3201,February
JMMY,Kiflie52ii,2,90,0,0,February
JMMY,eight88,115,4964,23,7343,February
JMMY,baek90D,4,310,0,0,February
JMMY,Nar735,7,290,1,100,February
JMMY,dlamnya78HH,28,910,3,427,February
JMMY,sabuj390,10,950,1,468,February
JMMY,Zoom990,6,130,0,0,February
JMMY,datuk52,11,510,0,0,February
JMMY,tony49,9,450,1,150,February
JMMY,hashikin21,15,450,0,0,February
JMMY,joni73Z,0,0,0,0,February
JMMY,syedaz84,30,1949.8,3,979,February
JMMY,yagya668,5,220,2,240,February
JMMY,Shen800,4,250,0,0,February
JMMY,GHFTO51,9,1400,0,0,February
JMMY,amboo92HH,4,212,0,0,February
JMMY,evel557,6,210,0,0,February
JMMY,IDMusanni,7,210,1,109,February
JMMY,IDBilltone81,19,1070,4,436,February
JMMY,sapri12,52,8125,16,8401.7,February
JMMY,Benzema,14,1490,6,5841,February
JMMY,ARTI05,24,541,4,460,February
JMMY,malam44HH,19,1319,2,500,February
JMMY,jiju21MR,9,850,2,650,February
JMMY,liff97D,0,0,0,0,February
JMMY,mal26to,1,20,0,0,February
JMMY,ALIALI25,132,5890,19,3948,February
JMMY,ihiya295W,6,170,1,100,February
JMMY,Helena_28Mk,0,0,0,0,February
JMMY,supra35,189,9469,18,9468,February
JMMY,boyy88,4,1800,0,0,February
JMMY,biol44D,10,230,2,320,February
JMMY,IDMdSharif84,3,140,1,101,February
JMMY,MrsRossi82,52,4243,8,2928,February
JMMY,manusia93HH,1,50,0,0,February
JMMY,cekrekk19D,1,50,0,0,February
JMMY,abangram3J,4,140,1,300,February
JMMY,SWEETY23,7,640,0,0,February
JMMY,indikul10,124,2654,14,3044,February
JMMY,usaha22J,17,888,1,400,February
JMMY,Babul1355J,5,420,1,1249,February
JMMY,low8823,23,1160,1,300,February
JMMY,ucokk60D,6,180,1,150,February
JMMY,yese979YN,1,20,0,0,February
JMMY,borhan14D,14,750,1,463,February
JMMY,SAIFUL80J,3,350,0,0,February
JMMY,Ikhwanisa67,2,96,0,0,February
JMMY,bussy48D,6,320,1,120,February
JMMY,HASAN,11,615.95,0,0,February
JMMY,FARHANA06,3,99,1,100,February
JMMY,Dudo21D,1,30,0,0,February
JMMY,MHaziq6264,21,1140,6,2150,February
JMMY,FARHAN53,7,570,0,0,February
JMMY,GAN27ma,16,348,1,161,February
JMMY,mengapa6,1,50,0,0,February
JMMY,tws627YN,1,40,0,0,February
JMMY,imm36J,91,4066,15,3031,February
JMMY,akak19D,13,490,1,169,February
JMMY,KJHTO11,1,20,0,0,February
JMMY,laliga06HH,1,50,0,0,February
JMMY,dadit84,1,100,0,0,February
JMMY,Again70,2,60,0,0,February
JMMY,FLORIST620,54,6480,3,2616,February
JMMY,bosi15D,12,540,2,430,February
JMMY,muliani98,1,50,0,0,February
JMMY,BOY85,1,25,0,0,February
JMMY,takasadr90,2,100,1,194,February
JMMY,json85,24,965,3,600,February
JMMY,naz338,7,600,0,0,February
