Username,Case Deposit,Deposit Amount,Case Withdraw,Withdraw Amount,,,,,,,,,,,,
Heru24,2,80,0,0,,,,,,,,,,,,
kirakira10HH,6,180,1,100,,,,,,,,,,,,
YOTO97,21,619,3,550,,,,,,,,,,,,
status50,25,1310,6,1118.2,,,,,,,,,,,,
Kanesan63,16,6350,0,0,,,,,,,,,,,,
pcigo20,96,6050,13,4950,,,,,,,,,,,,
Murukiah72,23,635,3,470,,,,,,,,,,,,
mizan14,420,14128,75,13640,,,,,,,,,,,,
shakti164,4,400,1,453,,,,,,,,,,,,
farukgo47,155,15330.8,21,13928,,,,,,,,,,,,
harss28J,2,100,0,0,,,,,,,,,,,,
ncikwati477J,31,1536,4,900,,,,,,,,,,,,
SPBUTO92,20,472,0,0,,,,,,,,,,,,
JJJTO66,20,1700,3,1300,,,,,,,,,,,,
therock35HH,78,3340,5,3200,,,,,,,,,,,,
Lily450,1,20,0,0,,,,,,,,,,,,
zaidi86,98,4730,5,2629,,,,,,,,,,,,
Ssboy213,86,2301,5,1550,,,,,,,,,,,,
DSATO48,1,50,1,150,,,,,,,,,,,,
Erigo70,44,3200,4,2400,,,,,,,,,,,,
Mandal152,12,740,0,0,,,,,,,,,,,,
rajabrama67,7,1250,1,1000,,,,,,,,,,,,
syuq30Z,2,250,0,0,,,,,,,,,,,,
kums46S,1,50,1,100,,,,,,,,,,,,
thines878,35,2225,5,2350,,,,,,,,,,,,
Okaybos042J,3,220,1,200,,,,,,,,,,,,
fatcai61,100,4657,8,5822,,,,,,,,,,,,
boyeh79,50,2473,12,2919,,,,,,,,,,,,
Haki936,308,10554.98,21,8250,,,,,,,,,,,,
sue9313,1,30,0,0,,,,,,,,,,,,
ohh95,10,220,2,230,,,,,,,,,,,,
angel82,29,3557,3,2603,,,,,,,,,,,,
asli72D,6,290,0,0,,,,,,,,,,,,
PRAVIN43,295,14490,51,13500,,,,,,,,,,,,
sport71,7,650,0,0,,,,,,,,,,,,
keca51MR,10,499,1,150,,,,,,,,,,,,
jerapah26MR,1,50,0,0,,,,,,,,,,,,
susan23,101,3249,2,1100,,,,,,,,,,,,
begini66HH,36,1198,3,1190,,,,,,,,,,,,
motif96Z,0,0,0,0,,,,,,,,,,,,
akmal38,2,70,0,0,,,,,,,,,,,,
cucu869V,1,30,1,200,,,,,,,,,,,,
Rosdin02,47,6726,22,5893,,,,,,,,,,,,
Zukhairi852,171,4634,19,3465,,,,,,,,,,,,
kela74MR,3,420,0,0,,,,,,,,,,,,
prabin20J,4,200,0,0,,,,,,,,,,,,
KangMus78,5,117,0,0,,,,,,,,,,,,
Erwin31,86,2800,6,3201,,,,,,,,,,,,
Kiflie52ii,2,90,0,0,,,,,,,,,,,,
eight88,115,4964,23,7343,,,,,,,,,,,,
baek90D,4,310,0,0,,,,,,,,,,,,
Nar735,7,290,1,100,,,,,,,,,,,,
dlamnya78HH,28,910,3,427,,,,,,,,,,,,
sabuj390,10,950,1,468,,,,,,,,,,,,
Zoom990,6,130,0,0,,,,,,,,,,,,
datuk52,11,510,0,0,,,,,,,,,,,,
tony49,9,450,1,150,,,,,,,,,,,,
hashikin21,15,450,0,0,,,,,,,,,,,,
joni73Z,0,0,0,0,,,,,,,,,,,,
syedaz84,30,1949.8,3,979,,,,,,,,,,,,
yagya668,5,220,2,240,,,,,,,,,,,,
Shen800,4,250,0,0,,,,,,,,,,,,
GHFTO51,9,1400,0,0,,,,,,,,,,,,
amboo92HH,4,212,0,0,,,,,,,,,,,,
evel557,6,210,0,0,,,,,,,,,,,,
IDMusanni,7,210,1,109,,,,,,,,,,,,
IDBilltone81,19,1070,4,436,,,,,,,,,,,,
sapri12,52,8125,16,8401.7,,,,,,,,,,,,
Benzema,14,1490,6,5841,,,,,,,,,,,,
ARTI05,24,541,4,460,,,,,,,,,,,,
malam44HH,19,1319,2,500,,,,,,,,,,,,
jiju21MR,9,850,2,650,,,,,,,,,,,,
liff97D,0,0,0,0,,,,,,,,,,,,
mal26to,1,20,0,0,,,,,,,,,,,,
ALIALI25,132,5890,19,3948,,,,,,,,,,,,
ihiya295W,6,170,1,100,,,,,,,,,,,,
Helena_28Mk,0,0,0,0,,,,,,,,,,,,
supra35,189,9469,18,9468,,,,,,,,,,,,
boyy88,4,1800,0,0,,,,,,,,,,,,
biol44D,10,230,2,320,,,,,,,,,,,,
IDMdSharif84,3,140,1,101,,,,,,,,,,,,
MrsRossi82,52,4243,8,2928,,,,,,,,,,,,
manusia93HH,1,50,0,0,,,,,,,,,,,,
cekrekk19D,1,50,0,0,,,,,,,,,,,,
abangram3J,4,140,1,300,,,,,,,,,,,,
SWEETY23,7,640,0,0,,,,,,,,,,,,
indikul10,124,2654,14,3044,,,,,,,,,,,,
usaha22J,17,888,1,400,,,,,,,,,,,,
Babul1355J,5,420,1,1249,,,,,,,,,,,,
low8823,23,1160,1,300,,,,,,,,,,,,
ucokk60D,6,180,1,150,,,,,,,,,,,,
yese979YN,1,20,0,0,,,,,,,,,,,,
borhan14D,14,750,1,463,,,,,,,,,,,,
SAIFUL80J,3,350,0,0,,,,,,,,,,,,
Ikhwanisa67,2,96,0,0,,,,,,,,,,,,
bussy48D,6,320,1,120,,,,,,,,,,,,
HASAN,11,615.95,0,0,,,,,,,,,,,,
FARHANA06,3,99,1,100,,,,,,,,,,,,
Dudo21D,1,30,0,0,,,,,,,,,,,,
MHaziq6264,21,1140,6,2150,,,,,,,,,,,,
FARHAN53,7,570,0,0,,,,,,,,,,,,
GAN27ma,16,348,1,161,,,,,,,,,,,,
mengapa6,1,50,0,0,,,,,,,,,,,,
tws627YN,1,40,0,0,,,,,,,,,,,,
imm36J,91,4066,15,3031,,,,,,,,,,,,
akak19D,13,490,1,169,,,,,,,,,,,,
KJHTO11,1,20,0,0,,,,,,,,,,,,
laliga06HH,1,50,0,0,,,,,,,,,,,,
dadit84,1,100,0,0,,,,,,,,,,,,
Again70,2,60,0,0,,,,,,,,,,,,
FLORIST620,54,6480,3,2616,,,,,,,,,,,,
bosi15D,12,540,2,430,,,,,,,,,,,,
muliani98,1,50,0,0,,,,,,,,,,,,
BOY85,1,25,0,0,,,,,,,,,,,,
takasadr90,2,100,1,194,,,,,,,,,,,,
json85,24,965,3,600,,,,,,,,,,,,
naz338,7,600,0,0,,,,,,,,,,,,
bungaabadi86J,3,400,1,300,,,,,,,,,,,,
Dinata950,12,770,0,0,,,,,,,,,,,,
machap94,28,1100,2,540,,,,,,,,,,,,
EFF51ma,2,40,0,0,,,,,,,,,,,,
IDnazmieshazlie,4,200,0,0,,,,,,,,,,,,
nelvi700,1,30,1,100,,,,,,,,,,,,
Hammed250ii,1,30,0,0,,,,,,,,,,,,
LKKTO57,0,0,0,0,,,,,,,,,,,,
lifeof05J,2,150,0,0,,,,,,,,,,,,
chann64J,2,200,0,0,,,,,,,,,,,,
kiting36,1,30,0,0,,,,,,,,,,,,
MANSTIN9,12,359,2,250,,,,,,,,,,,,
aaadilll6176,19,550,0,0,,,,,,,,,,,,
forever97Z,4,170,1,100,,,,,,,,,,,,
Logan431,1,30,0,0,,,,,,,,,,,,
gozo99S,8,220,1,250,,,,,,,,,,,,
DAVID16,54,1840,0,0,,,,,,,,,,,,
rozaiman,3,110,0,0,,,,,,,,,,,,
chanchan64,23,1140,3,650,,,,,,,,,,,,
Rawat,24,1200,11,1685,,,,,,,,,,,,
awardd03J,2,101,0,0,,,,,,,,,,,,
Idrisbinkasim65,2,60,0,0,,,,,,,,,,,,
meriam95,20,1150,3,1115,,,,,,,,,,,,
niaa48D,16,460,1,125,,,,,,,,,,,,
syui32MR,2,100,0,0,,,,,,,,,,,,
Gass_60MK,1,30,0,0,,,,,,,,,,,,
Ali503,13,820,4,1100,,,,,,,,,,,,
HAKIMI127,11,300,2,290,,,,,,,,,,,,
Panther_69Mk,1,130,0,0,,,,,,,,,,,,
WCKTO49,26,1490,4,1104,,,,,,,,,,,,
sabturain37MK,1,50,0,0,,,,,,,,,,,,
Wathy322,7,230,0,0,,,,,,,,,,,,
PREMA906,2,140,2,300,,,,,,,,,,,,
Iskandar91,10,200,0,0,,,,,,,,,,,,
Chan999,16,525,2,330,,,,,,,,,,,,
IDABDUL49,3,150,0,0,,,,,,,,,,,,
frank93,9,290,2,329,,,,,,,,,,,,
bercanda96,13,610,2,200,,,,,,,,,,,,
muc257YN,2,100,0,0,,,,,,,,,,,,
Macbride78,4,125,0,0,,,,,,,,,,,,
yaya70MR,1,50,0,0,,,,,,,,,,,,
POH14ii,2,60,0,0,,,,,,,,,,,,
sakal47,4,220,0,0,,,,,,,,,,,,
JUICE501,29,1562,11,1720,,,,,,,,,,,,
jarum19D,1,20,0,0,,,,,,,,,,,,
jambuuu69J,1,100,0,0,,,,,,,,,,,,
farhan188J,3,150,0,0,,,,,,,,,,,,
CVGTO18,1,30,0,0,,,,,,,,,,,,
poul13HH,1,20,0,0,,,,,,,,,,,,
vior13to,1,20,0,0,,,,,,,,,,,,
bule22D,1,70,0,0,,,,,,,,,,,,
vitoria63,0,0,0,0,,,,,,,,,,,,
izza481Z,7,225,0,0,,,,,,,,,,,,
riezman33J,2,70,0,0,,,,,,,,,,,,
kendit13D,1,150,0,0,,,,,,,,,,,,
abdul75Z,27,2210,1,2019,,,,,,,,,,,,
ingus67MR,42,1867.7,8,1470,,,,,,,,,,,,
peach89,6,180,2,306,,,,,,,,,,,,
muniandy38,16,1012,3,813,,,,,,,,,,,,
LAHH40,7,280,0,0,,,,,,,,,,,,
Bulkhaini34,9,270,1,150,,,,,,,,,,,,
ZAR91ma,2,60,0,0,,,,,,,,,,,,
MSBBMY66,15,419,2,508,,,,,,,,,,,,
manis05J,9,360,3,480,,,,,,,,,,,,
peci51,3,109,1,100,,,,,,,,,,,,
CapLipak42ii,20,845.85,2,300,,,,,,,,,,,,
Apr-10,67,13089,12,2840,,,,,,,,,,,,
nathan3J,1,50,0,0,,,,,,,,,,,,
ogiogi78,0,0,0,0,,,,,,,,,,,,
lplp47,76,6230,13,3850,,,,,,,,,,,,
