Agent,Username,Case Deposit,Deposit Amount,Case Withdraw,Withdraw Amount,Month
STMY,niezam55J,0,0,0,0,February
STMY,afzal74,44,12119,14,8417,February
STMY,acongeHH36,80,6510,31,5663,February
STMY,KucingTidur,61,5183,11,2792,February
STMY,James,31,1140,3,450,February
STMY,LANGTO29,299,58941,30,45571,February
STMY,nan453YN,24,1568,3,964,February
STMY,topiu62D,4,370,0,0,February
STMY,mr4120,3,300,0,0,February
STMY,LANTO99,13,430,6,778,February
STMY,ABANGFARID9J,98,5114.74,20,4342,February
STMY,Hardy_69MK,10,360,1,100,February
STMY,loncat34,190,5880,37,7566,February
STMY,MDTO31,1,30,0,0,February
STMY,korim75Z,63,5517,2,1802,February
STMY,civas026YN,63,9949,8,13800.09,February
STMY,wathy64,46,1490,12,1540,February
STMY,AimanIqbal,138,30560,15,21103,February
STMY,vik600,7,320,0,0,February
STMY,muin7462,48,2740,10,1980,February
STMY,tameng15,64,3200,13,2320,February
STMY,PERSIJA07,8,629,0,0,February
STMY,upin13,1,100,0,0,February
STMY,Riyann60J,13,330,1,100,February
STMY,SAMSANI1154,65,45040,14,34374,February
STMY,DAUUS05,87,4644,13,3600,February
STMY,jakiii79,51,1982,6,1578,February
STMY,emalyn88,8,212,0,0,February
STMY,BKA47MR,0,0,0,0,February
STMY,lancer771,14,1290,2,900,February
STMY,tissu53,10,732,0,0,February
STMY,ZAL50ma,1,35,0,0,February
STMY,Pedro_74Mk,1,50,0,0,February
STMY,mama563J,3,61,0,0,February
STMY,JIM95ii,1,50,0,0,February
STMY,cenan36J,22,690,6,851,February
STMY,aimi888,16,790,5,760,February
STMY,yousaid3J,1,20,0,0,February
STMY,EMBUN64,2,60,1,100,February
STMY,oyo64MR,176,6612,20,3975,February
STMY,adoi17,2,50,0,0,February
STMY,lowha56,37,26649,12,11647,February
STMY,yayabosku899,2,180,0,0,February
STMY,melon24,1,50,0,0,February
STMY,nevermind58,8,420,1,200,February
STMY,amle90D,1,40,0,0,February
STMY,dewa43,26,860,1,400,February
STMY,nabung22HH,36,1700,2,650,February
STMY,alinaa04,38,1515,9,1441,February
STMY,sayup42D,1,50,1,200,February
STMY,nicol725ii,8,230,1,100,February
STMY,mayu98D,1,30,0,0,February
STMY,bunda25,5,110,1,140,February
STMY,luas44,13,310,0,0,February
STMY,Meow6083,7,220,0,0,February
STMY,GAH42ma,12,1430,6,1300.54,February
STMY,khai53D,2,100,1,150,February
STMY,dul888,4,120,1,250,February
STMY,ANOJ4407,1,30,0,0,February
STMY,MGRTO27,3,240,0,0,February
STMY,krishnan81mk,57,2241,10,1451,February
STMY,Lok6008,60,5660,12,5350,February
STMY,woless90,10,221,0,0,February
STMY,akakica3J,6,280,0,0,February
STMY,SONTO41,6,550,0,0,February
STMY,Kumbang_39MK,2,50,0,0,February
STMY,AnuarHks277J,14,1150,3,2821,February
STMY,Azli,5,240,0,0,February
STMY,Hossen377J,1,50,0,0,February
STMY,MUCH33,4,95,0,0,February
STMY,hazin30Z,7,540,2,700,February
STMY,luicy94,32,850,6,972,February
STMY,BERTO36,31,1103,3,659,February
STMY,LADYBOSSY,37,1614,13,1874,February
STMY,ANIE009,38,1297.08,4,861,February
STMY,ngam18Z,45,7068,13,5880,February
STMY,ditinggal01,32,4710,10,7441,February
STMY,bohte271,18,793,1,300,February
STMY,kepalo74,9,270,1,200,February
STMY,Azhar88,68,5129,17,3355.67,February
STMY,AWIWI83,30,2670,5,1691,February
STMY,Kiera98,39,1170,9,1300,February
STMY,yongchai55,11,230,1,200,February
STMY,asyouwish99,3,120,0,0,February
STMY,AZIE25,4,180,0,0,February
STMY,saro72D,3,90,2,291,February
STMY,haii0097J,13,440,1,1021,February
STMY,AGATO22,1,50,0,0,February
STMY,HEATWEST5,5,550,0,0,February
STMY,Min_72MK,4,80,1,100,February
STMY,yuzir191Z,1,40,0,0,February
STMY,FAKARUDDIN84,11,550,1,150,February
STMY,LINUS4856,18,1237,0,0,February
STMY,kir93D,4,120,1,191,February
STMY,onzai84,5,360,0,0,February
STMY,AHPENG21,36,822,2,350,February
STMY,Perfect,10,700,1,200,February
STMY,UJUT51,11,470,1,400,February
STMY,wadid326,6,180,2,444,February
STMY,Abangipul88,1,100,0,0,February
STMY,glamor527V,20,1793,6,1603,February
STMY,leps37HH,15,380,3,736,February
STMY,maw364,3,90,0,0,February
STMY,PASWAN38,6,180,0,0,February
STMY,Gas51MK,4,293,0,0,February
STMY,FAQII21,1,50,0,0,February
STMY,hyena348,105,6451,20,5225,February
STMY,nelama464,3,160,1,2706,February
STMY,pudidi06HH,2,100,1,100,February
STMY,botak6556,48,2209,12,2127,February
STMY,ADAM75,22,2160,2,1204,February
STMY,Matoleb_08MK,7,320,0,0,February
STMY,zizi110,5,160,0,0,February
STMY,sumur57,12,710,0,0,February
STMY,YOW86,18,1674,1,700,February
STMY,ATGTO71,2,60,0,0,February
STMY,rama08,5,550,0,0,February
STMY,AWANTO43,2,80,1,100,February
STMY,pejuang12,3,370,0,0,February
STMY,hela46D,9,1240,3,1041,February
STMY,MNCTO48,2,300,0,0,February
STMY,zuky60D,30,2304,0,0,February
STMY,hossain42D,1,50,0,0,February
STMY,pndawa03HH,10,427,1,270,February
STMY,honeylay34J,16,840,3,1001,February
STMY,MAJID57,17,860,4,900,February
STMY,Embun_13Mk,13,810,2,1410,February
STMY,kentlo47,37,3070,9,3000,February
STMY,fiture44HH,3,230,0,0,February
STMY,Amy3481,0,0,0,0,February
STMY,mona707,23,5220.24,3,8693,February
STMY,MK27,10,300,3,410,February
STMY,HITAMM13,32,1221.8,3,664,February
STMY,izwan2324,15,695,4,500,February
STMY,sakiet73D,2,50,0,0,February
STMY,quincy32,51,4800,8,5148,February
STMY,STMY7291,14,280,3,502,February
STMY,singer433J,7,450,2,253,February
STMY,sout415YN,27,710,6,860,February
STMY,safoain655J,1,50,0,0,February
STMY,Tulus855J,1,50,0,0,February
STMY,BURU02,40,2532,8,2405,February
STMY,ghost35,29,1690,1,400,February
STMY,pants52,9,275,1,107,February
STMY,SKATO92,1,20,0,0,February
STMY,velasamy3J,24,730,1,201,February
STMY,ilmu14D,9,280,2,350,February
STMY,JOJOY35,19,920,1,300,February
STMY,ULa_78Mk,9,555,1,861,February
STMY,ajay36J,2,200,1,200,February
STMY,YAHYA961,43,1500,4,2431,February
STMY,kobi630ii,4,120,0,0,February
